Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Flyboys,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113665378/flyboys,3.1,-1,Sport,5.9,18,1800,48.62285,-120.44865
"Playin' Hooky","Creek Side > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106701638/playin-hooky,3.3,-1,Sport,5.8,4,400,39.74102,-105.41042
Tachycardia,"Heart Rock > Heart Rock Area > Maple Canyon Road > Maple Canyon > Utah",https://www.mountainproject.com/route/107669530/tachycardia,3.7,-1,Sport,5.7,3,300,39.5561,-111.6708
"Big Bad Wolf","Riding Hood Wall > 01-Calico Basin > Red Rock > Southern Nevada > Nevada",https://www.mountainproject.com/route/107339211/big-bad-wolf,3.1,-1,Sport,5.9,3,220,36.14947,-115.42673
"Star Chek","Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107104796/star-chek,3.4,-1,Sport,5.8+,3,400,49.924,-123.1675
"Pioneer Route","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791058/pioneer-route,3.5,-1,"Trad, Sport, Aid","5.7 C0",3,250,44.37053,-121.14363
"The Peacemaker","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080329/the-peacemaker,3.5,-1,Sport,5.10a,7,,31.87031,-109.99388
"Royal Flush","Mount Royal (near Frisco) > 10 Mile Canyon > Colorado",https://www.mountainproject.com/route/106811713/royal-flush,3.0,-1,Sport,5.9,8,1500,39.5723,-106.111
"Climb of the Ancient Mariner","The Bookend > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748966/climb-of-the-ancient-mariner,3.7,-1,"Trad, Sport",5.10a,3,,40.40681,-105.5372
Leonids,"Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/105793305/leonids,3.6,-1,Sport,5.9,3,350,32.90461,-116.81845
"Wherever I May Roam","(6) Northwest Face > (m) Smith Rock Group > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105821077/wherever-i-may-roam,3.3,-1,Sport,5.9,5,400,44.36445,-121.1482
"Mars Attacks","The Fin > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105793038/mars-attacks,3.5,-1,"Trad, Sport","5.9 PG13",4,350,34.90455,-111.80682
Waves,"Shipyard Rock > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714728/waves,3.6,-1,Sport,5.8,2,180,43.8864,-103.46677
"Voyage of the Cowdog","(a) Picnic Lunch Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106673268/voyage-of-the-cowdog,3.2,-1,Sport,5.8+,3,260,44.36819,-121.1401
