Route,URL,Avg_Stars,Pitches,Length_(feet),Length_(meters),Area_Latitude,Area_Longitude,Loc_1,Loc_2,Loc_3,Loc_4,Loc_5,Loc_6,Route_type1,Route_type2,Route_type3,Class,Protection_Rating,Aid_Grading
Jolly Rover,https://www.mountainproject.com/route/107654609/jolly-rover,3,2,,,34.7204,-98.7267,Dog Wall,Treasure Cove,Oklahoma,USA,North America,Domestic,Sport,,,5.8,X,
Merci Me,https://www.mountainproject.com/route/106527466/merci-me,2.8,2,190,58,49.6827,-123.1482,Grand Wall Base Area,The Chief,,Canada,North America,International,Sport,,,5.8,R,
Pas Perdus,https://www.mountainproject.com/route/106292170/pas-perdus,2.5,5,480,146,46.3373,7.2631,Sanetsch,Switzerland,,Switzerland,Europe,International,Sport,,,5.9+,,
Fun in the Sun,https://www.mountainproject.com/route/109518418/fun-in-the-sun,3.3,2,230,70,34.47098,-119.68953,Rattlesnake Canyon Crags (including Upper and Lower Alchemist),Santa Barbara,California,USA,North America,Domestic,Sport,,,5.8,R,
Il était temps!,https://www.mountainproject.com/route/112009964/il-etait-temps,2.8,2,180,55,45.97205,-74.13704,B. Secteur oublié,Baldy,,Canada,North America,International,Sport,,,5.9+,,
Virgin Suicides,https://www.mountainproject.com/route/106607810/virgin-suicides,2.9,2,140,43,40.25149,-75.82395,i. Sun Wall (Long Slabs),Birdsboro Quarry,Pennsylvania,USA,North America,Domestic,Sport,,,5.9+,,
Walk In The High Country,https://www.mountainproject.com/route/106954177/walk-in-the-high-country,3.3,5,500,152,30.50849,-98.819,Devil's Slide,Main Dome,Texas,USA,North America,Domestic,Sport,,,5.8,PG13,
Saphir,https://www.mountainproject.com/route/108424951/saphir,3.3,5,400,122,43.20227,5.4982,La Saphir,Calanque d'En-Vau,,France,Europe,International,Sport,,,5.8,PG13,
Idiopathic,https://www.mountainproject.com/route/107080744/idiopathic,2.3,4,700,213,33.46406,-113.36062,Courthouse Rock,Eagletail Mountains,Arizona,USA,North America,Domestic,Sport,,,5.9-,PG13,
A Little Adventurous,https://www.mountainproject.com/route/113702924/a-little-adventurous,2.7,2,150,46,40.6896,-111.77493,Millcreek Monster,Millcreek Canyon,Utah,USA,North America,Domestic,Sport,,,5.8,PG13,
Isidora,https://www.mountainproject.com/route/114796282/isidora,3,2,200,61,39.7214,21.6192,Doupianifels,Meteora,,Greece,Europe,International,Sport,,,5.8,PG13,
Into the Spotlight,https://www.mountainproject.com/route/109996162/into-the-spotlight,3,2,180,55,34.4112,-117.8539,Behind the Scenes,South Area,California,USA,North America,Domestic,Sport,,,5.8,PG13,
Frenesia,https://www.mountainproject.com/route/112238277/frenesia,3,2,177,54,39.83937,16.26323,Frascineto-Eianina,Italy,,Italy,Europe,International,Sport,,,5.8,PG13,
Swine Flu,https://www.mountainproject.com/route/108811049/swine-flu,2.6,2,270,82,32.89671,-116.82641,The Toe,Mountaineer Walls,California,USA,North America,Domestic,Sport,,,5.9-,PG13,
The Initiation,https://www.mountainproject.com/route/117683654/the-initiation,2.5,6,900,274,-16.0141,35.5737,Mulanje Massif,Malawi,,Malawi,Africa,International,Sport,,,5.8,PG13,
Dancing in the Moonlight,https://www.mountainproject.com/route/106561015/dancing-in-the-moonlight,2.6,3,135,41,40.41555,-105.3761,Moonlight Rock,Mary's Bust Area,Colorado,USA,North America,Domestic,Sport,,,5.9-,PG13,
Southeast Ridge,https://www.mountainproject.com/route/109488066/southeast-ridge,2.5,2,350,107,-9.66139,15.5914,Stegosaurus,Pungo Andongo - Pedras Negras - Black Rocks,,Angola,Africa,International,Sport,,,5.8,PG13,
Spontaneous Order,https://www.mountainproject.com/route/106309840/spontaneous-order,2.6,4,350,107,34.58355,-119.26301,Central Gully,The Fortress,California,USA,North America,Domestic,Sport,,,5.9+,PG13,
Eagle's Dare,https://www.mountainproject.com/route/113728534/eagles-dare,3.9,8,710,216,43.05188,-122.64633,Acker Rock,Southwest Oregon,Oregon,USA,North America,Domestic,Sport,,,5.9+,PG13,
Karabore to Brid za Veliki cecik,https://www.mountainproject.com/route/116803119/karabore-to-brid-za-veliki-cecik,4,12,900,274,44.30671,15.47783,Stup G17-20,Anica kuk,,Croatia,Europe,International,Sport,,,5.9+,PG13,
Le Diedre Sud,https://www.mountainproject.com/route/111933341/le-diedre-sud,4,4,560,171,44.31472,5.69507,Quiquillon,Orpierre,,France,Europe,International,Sport,,,5.9+,PG13,
Juniperus,https://www.mountainproject.com/route/114555860/juniperus,4,5,500,152,47.77795,13.35908,Plombergstein,Austria,,Austria,Europe,International,Sport,,,5.7+,PG13,
Highlander,https://www.mountainproject.com/route/106465260/highlander,2.4,2,120,37,34.2256,-117.1962,Scot Rock,Lake Arrowhead Area,California,USA,North America,Domestic,Sport,,,5.7,,
Reveil Matin,https://www.mountainproject.com/route/107414051/reveil-matin,3,3,,,42.66875,74.64127,Redhead,Chongkurchak,,Kyrgyzstan ,Asia,International,Sport,,,5.9+,,
L'arete a Marion,https://www.mountainproject.com/route/113500408/larete-a-marion,4,14,1600,488,45.87235,6.46474,Col des Aravis,Northern Alps,,France,Europe,International,Sport,,,5.7+,,
Groove Tube,https://www.mountainproject.com/route/105901068/groove-tube,3.5,2,180,55,8.01837,98.8302,Fire Wall,Tonsai Bay,,Thailand,Asia,International,Sport,,,5.9-,,
L'Arête,https://www.mountainproject.com/route/114954150/larete,3.4,4,330,101,47.89602,-69.99321,A. L’Arête,Palissades de Charlevoix,,Canada,North America,International,Sport,,,5.7+,,
Under My Skin,https://www.mountainproject.com/route/111951727/under-my-skin,3.5,2,200,61,38.88127,-120.28982,Nap Wall Area,Slick Rock Dome,California,USA,North America,Domestic,Sport,,,5.7+,,
Not Wizard's Gate,https://www.mountainproject.com/route/117651413/not-wizards-gate,3.3,3,350,107,40.3034,-105.5227,Lower Great Face,The Crags,Colorado,USA,North America,Domestic,Sport,,,5.7+,,
Shiver,https://www.mountainproject.com/route/114401732/shiver,3.3,2,320,98,32.89671,-116.82641,The Toe,Mountaineer Walls,California,USA,North America,Domestic,Sport,,,5.7+,,
Credibility Gap,https://www.mountainproject.com/route/105755446/credibility-gap,2.7,2,,,38.87785,-104.88069,West Side,South Gateway Rock,Colorado,USA,North America,Domestic,Sport,,,5.9+,,
Zircon Encrusted Geezers,https://www.mountainproject.com/route/106379275/zircon-encrusted-geezers,3,4,650,198,42.5291,-107.51412,The Moonstone,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.7+,,
Prime Rib,https://www.mountainproject.com/route/107730934/prime-rib,2.8,11,1300,396,48.62285,-120.44865,Goat Wall,Mazama,Washington,USA,North America,Domestic,Sport,,,5.9-,,
Les Commandos,https://www.mountainproject.com/route/117829305/les-commandos,3,4,400,122,43.5266,5.5897,Aiguille Bertine,Sainte Victoire,,France,Europe,International,Sport,,,5.7+,,
Evil Monkey,https://www.mountainproject.com/route/117615567/evil-monkey,3,2,50,15,43.22091,-123.56428,Evil Monkey,Gaping Ape & Evil Monkey,Oregon,USA,North America,Domestic,Sport,,,5.7,,
Buried Treasure,https://www.mountainproject.com/route/105988542/buried-treasure,2.7,2,170,52,40.0041,-105.4061,Treasure Wall,Tonnere Tower,Colorado,USA,North America,Domestic,Sport,,,5.9-,,
Stargazer,https://www.mountainproject.com/route/105907169/stargazer,2.8,2,,,42.5291,-107.51412,The Moonstone,Sweetwater Rocks,Wyoming,USA,North America,Domestic,Sport,,,5.7,,
Aretes du Couloir Orange,https://www.mountainproject.com/route/114534553/aretes-du-couloir-orange,3,2,120,37,44.9738,6.52472,q. Rochers Oranges,Pantalon,,France,Europe,International,Sport,,,5.7,,
Moonlight Madness,https://www.mountainproject.com/route/110350452/moonlight-madness,3.5,5,900,274,37.34058,-119.42248,Big Sleep,Big Sleep Area,California,USA,North America,Domestic,Sport,,,5.9-,,
Crystal Blue Persuasion,https://www.mountainproject.com/route/111951131/crystal-blue-persuasion,3,2,400,122,38.8802,-120.2893,Crystal Wall Area,Slick Rock Dome,California,USA,North America,Domestic,Sport,,,5.7,R,
